metric,value
cycles,84
tasks,40
simulated_time_ns,84
throughput_tasks_per_cycle,0.47619047619
compute_busy_cycles,0
compute_utilization,0
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,1
parser_to_transform_average,0.47619047619
parser_to_transform_peak,1
transform_to_compute_capacity,1
transform_to_compute_average,0.47619047619
transform_to_compute_peak,1
compute_to_output_capacity,1
compute_to_output_average,0.47619047619
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,0.952380952381
transform_registers_peak,1
