metric,value
cycles,1528
tasks,64
simulated_time_ns,1528
throughput_tasks_per_cycle,0.0418848167539
compute_busy_cycles,2942
compute_utilization,0.962696335079
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,2
parser_to_transform_average,1.82068062827
parser_to_transform_peak,2
compute0_results_capacity,2
compute0_results_average,0.020942408377
compute0_results_peak,1
compute1_results_capacity,2
compute1_results_average,0.0405759162304
compute1_results_peak,1
collector_to_output_capacity,2
collector_to_output_average,0.0418848167539
collector_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.92408376963
transform_registers_peak,2
handshake_valid_cycles,1470
handshake_blocked_cycles,1406
handshake_blocked_fraction,0.956462585034
compute_units,2
compute_task_slots,2
transform_slots,2
fifo_slots,8
buffer_payload_bits,1088
dispatch_idle_other_blocked_cycles,24
reorder_wait_cycles,24
collector_output_blocked_cycles,0
compute0_busy_cycles,1482
compute0_utilization,0.969895287958
compute0_tasks,32
compute0_result_wait_cycles,0
compute1_busy_cycles,1460
compute1_utilization,0.955497382199
compute1_tasks,32
compute1_result_wait_cycles,0
